,No.,Name,Date,Age,Expedition,Nationality,Cause of death,Location,Deaths by same cause,Year,Deaths that same year
0,1,Dorje,1922-06-07,,1922 British Mount Everest Expedition,Nepal,Avalanche,Below North Col,50.0,1922,7
1,2,Lhakpa,1922-06-07,,1922 British Mount Everest Expedition,Nepal,Avalanche,Below North Col,50.0,1922,7
2,3,Norbu,1922-06-07,,1922 British Mount Everest Expedition,Nepal,Avalanche,Below North Col,50.0,1922,7
3,4,Pasang,1922-06-07,,1922 British Mount Everest Expedition,Nepal,Avalanche,Below North Col,50.0,1922,7
4,5,Pema,1922-06-07,,1922 British Mount Everest Expedition,Nepal,Avalanche,Below North Col,50.0,1922,7
5,6,Sange,1922-06-07,,1922 British Mount Everest Expedition,Nepal,Avalanche,Below North Col,50.0,1922,7
6,7,Temba,1922-06-07,,1922 British Mount Everest Expedition,Nepal,Avalanche,Below North Col,50.0,1922,7
7,8,Man Bahadur,1924-05-13,,1924 British Mount Everest Expedition,Nepal,Pneumonia,Above Rongbuk B.C.,1.0,1924,4
8,9,Lance-Naik Shamsherpun,1924-05-17,,1924 British Mount Everest Expedition,Nepal,Brain hemorrhage,Above Rongbuk B.C.,1.0,1924,4
9,10,Andrew Irvine,1924-06-09,22.0,1924 British Mount Everest Expedition,United Kingdom,Unknown. Body never found,N.E. Ridge,1.0,1924,4
10,11,George Mallory,1924-06-09,37.0,1924 British Mount Everest Expedition,United Kingdom,Possible ice axe injury following a fall. Body found in 1999,N.E. Ridge,1.0,1924,4
11,12,Maurice Wilson,1934-05-31,36.0,Solo Expedition,United Kingdom,"Possible exhaustion, exposure or starvation. Body found 1935",East Rongbuk Glacier,1.0,1934,1
12,13,Dorje Mingma,1952-10-31,,Swiss Expedition,Nepal,Falling ice,Lhotse Face,1.0,1952,1
13,14,Wang Ji,1960-04-11,,Chinese Expedition Northern Slope,China,Mountain sickness,,1.0,1960,2
14,15,Shao Shi-Ching,1960-04-29,,Chinese Expedition Northern Slope,China,,N.E. Ridge,,1960,2
15,16,Nawang Tshering,1962-04-28,,Chinese Expedition Northern Slope,Nepal,,Lhotse face,,1962,1
16,17,Jake Breitenbach,1963-03-23,27.0,Norman Dyhrenfurth's American Mount Everest Expedition,United States,Crushed under serac,Icefall,5.0,1963,1
17,18,Ma Gao-shu,1966-05-01,,Chinese Everest Expedition,China,Fall,Icefall,46.0,1966,1
18,19,Phu Dorjee Sherpa,1969-10-18,,Japanese Everest Expedition,Nepal,Fall into a crevasse,Icefall,10.0,1969,1
19,20,Nima Dorje,1970-04-05,,Japanese Skiing Expedition,Nepal,Avalanche,Icefall,50.0,1970,7
20,21,Kunga Norbu,1970-04-05,,Japanese Skiing Expedition,Nepal,Avalanche,,50.0,1970,7
21,22,Mima Norbu,1970-04-05,,Japanese Skiing Expedition,Nepal,Avalanche,Icefall,50.0,1970,7
22,23,Pasang,1970-04-05,,Japanese Skiing Expedition,Nepal,Avalanche,Icefall,50.0,1970,7
23,24,Kami Tshering,1970-04-05,,Japanese Skiing Expedition,Nepal,Avalanche,Icefall,50.0,1970,7
24,25,Kyak Tsering,1970-04-09,36.0,Japanese Skiing Expedition,Nepal,by fall,5525 m,1.0,1970,7
25,26,Kiyoshi Narita,1970-04-21,,Japanese Skiing Expedition,Japan,Heart attack,6150m,5.0,1970,7
26,27,Harsh Vardhan,1971-04-18,31.0,International Expedition of 1971,India,Succumbed after falling and being suspended above a crevasse during a blizzard,6900m,1.0,1971,1
27,28,Tony Tighe,1972-11-16,,Mt. Qomolangma expedition,Australia,Crushed under serac,Icefall,5.0,1972,1
28,29,Jangbu,1973-10-12,,,Nepal,Avalanche,S.W. Face,50.0,1973,1
29,30,Gérard Devouassoux,1974-09-09,,French West Ridge Direct expedition,France,Avalanche,6400m,50.0,1974,6
30,31,Pemba Dorje,1974-09-09,,French West Ridge Direct expedition,Nepal,Avalanche,6400m,50.0,1974,6
31,32,Lhakpa,1974-09-09,,French West Ridge Direct expedition,Nepal,Avalanche,6400m,50.0,1974,6
32,33,Nawang Lutuk,1974-09-09,,French West Ridge Direct expedition,Nepal,Avalanche,6400m,50.0,1974,6
33,34,Nima Wangchu,1974-09-09,,French West Ridge Direct expedition,Nepal,Avalanche,6400m,50.0,1974,6
34,35,Sanu Wongal,1974-09-09,,French West Ridge Direct expedition,Nepal,Avalanche,6400m,50.0,1974,6
35,36,Wu Zhuong Yue,1975-05-04,,,China,"Exhaustion, fall",8500m,1.0,1975,3
36,37,Unknown ; deaf-mute Sherpa porter,1975-08-01,,1975 British Mount Everest Southwest Face expedition,Nepal,Drowned,Below Base Camp,2.0,1975,3
37,38,Mick Burke,1975-09-26,34.0,Bonington's 1975 Everest expedition,United Kingdom,Disappearance (likely accidental death during climb),Near Summit,11.0,1975,3
38,39,Terry Thompson,1976-04-10,,British-Nepal Army Everest Expedition,United Kingdom,Fall into a crevasse,Camp II,10.0,1976,1
39,40,Dawa Nuru,1978-04-18,,,Nepal,Fall into a crevasse,Icefall,10.0,1978,2
40,41,Shi Ming-ji,1978-04-18,,Chinese Iranian Expedition,China,Fall into a crevasse,Icefall,10.0,1978,2
